  Comments,Ankon,Rizvi,Sourov,FinalTag
নোংরা রাজনীতি যতদিন বিশ্ববিদ্যালয়ে থাকবে ততদিন ভালো কিছু আশা করা যায় না।,Disgust,Disgust,Disgust,Disgust
"এসব বাদ দিয়ে , তেল কিনতে যান,,,সয়াবিন তেলের দাম আবার বেড়েছে ।।",Disgust,Disgust,Disgust,Disgust
"শিক্ষা ব্যবস্থার ফুটো সংশোধন হলে , গদি ফুটো হবার সম্ভাবনা আছে .. তাই যা পঙ্গু পঙ্গু থাকায় বেটার (কিছু মানুষের জন্য)",Anger,Disgust,Anger,Anger
"কুরাজনৈতিক বিষয়ে লিস্ট করা হলে বাংলাদেশের সকল বিশ্ববিদ্যালয় প্রথম দিকে থাকতো,,,এমনকি এই লিস্টে কয়েকটা স্কুল কলেজের নামও পাইতেন।",Disgust,Disgust,Disgust,Disgust
আমাদের দেশে বিশ্ববিদ্যালয়গুলোতে তো আর লেখাপড়া হয়না। শেখানো হয় রাজনীতি।,Sadness,Fear,Disgust,Sadness
"পাকিস্তান বাংলাদেশের চেয়ে এগিয়ে,এটা মেনে নেওয়া যায় না",Surprise,Sadness,Sadness,Sadness
কয়েকদিন পরপর এসব আজাইরা নিউজ দেখতে ভালো লাগে না।,Disgust,Disgust,Disgust,Disgust
সেটা অনেকে ভুলে গিয়ে কনর্সাটে মেতে উঠেছে,Sadness,Sadness,Sadness,Sadness
"আমরা মঙ্গলগ্রহ থেকে আসছি,বলেন কি হইছিলো...?",Surprise,Disgust,Disgust,Disgust
সঠিক জানিনা তবে হতে পারে পরিকল্পিত ঘটনা!,Fear,Fear,Fear,Fear
আগুন লেগেছিল। আর কিছু নয়।,Sadness,Sadness,Sadness,Sadness
"এতগুলো লোক মারা গেল, আর কনসার্ট নিয়ে মাতামাতি ঢাকাবাসী হায়রে দুনিয়া",Sadness,Sadness,Sadness,Sadness
"যতটুকু দিলে সাধারণ মানুষের জীবন অতিষ্ঠ হয়, ঠিক ততটুকু।",Disgust,Fear,Disgust,Disgust
সব টুকু সাধারণ মানুষের পকেট থেকে দিতে হবে।,Sadness,Sadness,Sadness,Sadness
মানুষের বলা-কওয়া নিয়ে সরকারের কোনো মাথাব্যথা নাই।,Disgust,Disgust,Disgust,Disgust
বাজেট যেটাই হউক সেটা সব সময়েই সাধারণ মানুষের বাশঁ ছাড়া কিছুই নয়।,Disgust,Disgust,Disgust,Disgust
কার কাছে বিচার দিমু আমরা যে মধ্যবিত্ত আমরা যে হালাল উপার্জনে নির্ভরশীল ।আল্লাহ আপনি বিচারের মালিক ।আমরা চরম অসহায়!,Sadness,Sadness,Sadness,Sadness
মানুষের উন্নয়ন হয়েছে। তারা এখন শুধু নিজেকে নিয়ে ভাবে।,Disgust,Disgust,Disgust,Disgust
"মানুষ এখন প্রতিবাদ করতেও ভয় পায়, কেননা প্রতিবাদ করতে গেলেই এখন অপরাধী হতে হয়। আর যারা অপরাধগুলো করছে তারা জেনেশুনেই করছে, তারা জানে তারা আইনের উর্ধ্বে চলে গিয়েছে।",Sadness,Fear,Sadness,Sadness
সত্যি কথা। আমাদের দেশের বিচার কে হত্যা করা হয়ছে কয়েক বছর আগে তাই মানুষ এখন আর বিচার পায় না। তুমি বিচার কিভাবে পাবে,Disgust,Disgust,Disgust,Disgust
"যে দেশে বিচার নাই,সেই দেশে সাধারণ মানুষের নিরাপত্তা চাওয়া শুধু বিলাসিতা।।",Disgust,Disgust,Disgust,Disgust
মধ্যবিত্তদের নিম্নবিত্তে টেনে নামাতে এই বাজেট অনেক কার্যকরী ভূমিকা রাখবে।,Fear,Fear,Fear,Fear
মধ্যবিত্ত আরো দারিদ্র হবেন।,Fear,Fear,Fear,Fear
দেশে কি আর মধ্যবিত্ত আছে দেশ'তো এখন ভুড়িওয়ালা দিয়ে ভরে গেছে!,Anger,Anger,Anger,Anger
দুর্বলদের সবাই মারতে চায়। উনি তাই করেছেন।,Disgust,Disgust,Disgust,Disgust
মধ্যবিত্ত অভিশাপ,Sadness,Sadness,Sadness,Sadness
একেবারে ছোট লোকের দেশ হয়ে যাচ্ছে,Anger,Anger,Anger,Anger
আমাদের দেশে কিছু লোক আছে মেয়েদের দোষ না থাকলেও তারা দোষী বানাতে চায়। অনেকে মেয়েটির দোষ দেখতেছে। হায়রে বাংলাদেশ।,Sadness,Disgust,Disgust,Disgust
আমরা লজ্জিত এই ঘটনার জন‍্য,Sadness,Sadness,Sadness,Sadness
"যে বিচার মানুষের দ্বারা সম্ভব না, সে বিচারের জন্য উপরে তাকিয়ে থাকতে হয়! হয়তো মানুষ থাকে খোঁজে পাবে নাহ, কিন্তু আল্লাহ ছেড়ে দিবে নাহ!",Anger,Anger,Anger,Anger
জি এটাই বাংলাদেশ,Sadness,Sadness,Sadness,Sadness
দিকে দিকে আছড়ে পড়ছে উন্নয়ন।,Disgust,Disgust,Disgust,Disgust
"আইন আছে প্রয়োগ নাই, তাই এই সব করার সাহস পাই দুস্কৃতিকারিরা",Fear,Sadness,Anger,Sadness
ধন্যবাদ! পুলিশ ভাইদের যারা এটা নিয়ে তদন্ত করছেন।,Happiness,Happiness,Happiness,Happiness
আইনের শাসন নেই আজ তাই এই অবস্থা কেউ নিরাপদ নয় কোথাও,Fear,Fear,Fear,Fear
প্রশাসনের সময় কোথায় শ্রমিকদের খবর নেওয়ার ! আফসোস!,Disgust,Disgust,Disgust,Disgust
এযুগেও চা শ্রমিকদের এমন দুর্দশা হতাশাজনক ।,Sadness,Sadness,Sadness,Sadness
আহ.... কি যে উন্নত দেশ,Surprise,Surprise,Surprise,Surprise
রিপোর্টে সত্য গোপন করা হয়েছে।,Disgust,Sadness,Disgust,Disgust
"ভালো করছে, এসব কর্মকর্তারা দেশের সার্বভৌমত্বের জন্যে হুমকি।",Happiness,Happiness,Happiness,Happiness
সব জায়গায় দালালি চলে না!! সেটা বুঝা উচিত,Anger,Anger,Anger,Anger
"আলহামদুলিল্লাহ, অনেক দিন পর একটা ভাল সংবাদ পেলাম।",Happiness,Happiness,Happiness,Happiness
কেমন জানি ঈদ ঈদ লাগে,Happiness,Happiness,Happiness,Happiness
মিথ্যা কিভাবে বলতে হয় শিখে নেন,Disgust,Disgust,Disgust,Disgust
অশান্তি সৃষ্টিকারী ও অপরাধীদের আইনের আওতায় আনা হোক।,Anger,Anger,Anger,Anger
এই ব্যাপারে জনগন পুলকিত বোধ করবে!!!,Happiness,Happiness,Happiness,Happiness
পুলিশের উচিত ছিলো মানুষের সেন্টিমেন্ট বুঝে কথা বলা।,Anger,Disgust,Anger,Anger
"উচিত কাজ করছে,,,",Happiness,Happiness,Happiness,Happiness
কাজ টা মোটামুটি খারাপ হয় নাই,Happiness,Happiness,Happiness,Happiness
প্রতিবাদ হোক সবখানেই।,Anger,Anger,Anger,Anger
সত্য তুলে ধরুন কেনো মারধর করা হয়েছে।।,Disgust,Disgust,Disgust,Disgust
একদম ঠিক হইছে,Happiness,Happiness,Happiness,Happiness
"অতিরিক্ত কোনো কিছুই ভালো না, তাহলে এমন পরিস্থিতিতে পরতে হতো না ।",Disgust,Disgust,Disgust,Disgust
মাতবরি দেখাতে গেছিলো মনে হয়।,Anger,Anger,Anger,Anger
কামের কাম হইছে,Happiness,Happiness,Happiness,Happiness
কি কারনে মেরেছে সেই কারন গোপন করা হচ্ছে কেন? কারন টাও হেডলাইন করা উচিত।,Anger,Disgust,Anger,Anger
সব জায়গায় মাস্তানী চলে না।,Anger,Anger,Anger,Anger
ভালো লাগলো ধন্যবাদ আপনাকে,Happiness,Happiness,Happiness,Happiness
উচিত শিক্ষা দিয়েছে জনতা।,Happiness,Happiness,Happiness,Happiness
পন্ডিতি সকল সময় সকল জায়গায় চলেনা,Anger,Anger,Anger,Anger
এভাবেই হোক প্রতিবাদ।,Anger,Happiness,Happiness,Happiness
চৌদ্দ বছর লুটপাট করে বিদেশ লক্ষ কোটি পাচার করে সাধ মিটে নাই এখন শেষ সময় জনগণের পাচায় আবার বাঁশ দিয়ে সাধ মিটাবে ।,Anger,Anger,Anger,Anger
এটা তো বাংলাদেশের বিশ্ব রেকর্ড,Surprise,Surprise,Surprise,Surprise
বাহ! এই সুযোগে একটা উড়োজাহাজ কিনেই ফেলি,Sarcasm,Sarcasm,Sarcasm,Sarcasm
অবশ্যই একটি জনবান্ধব বাজেট।রাস্তায় যে জ্যাম হেলিকপ্টার এর বিকল্প নেই..।।,Disgust,Disgust,Disgust,Disgust
তাতে আমার কি আসে যায়,Disgust,Disgust,Disgust,Disgust
যে কোন ভাল উদ্যোগকেও কিছু মানুষ বাকা চোখে দেখে! এখন আর অবাক হই না।,Disgust,Disgust,Disgust,Disgust
ধন্যবাদ মাননীয় প্রধানমন্ত্রী।।,Happiness,Happiness,Happiness,Happiness
হায়রে ডিজিটাল সিস্টেম,Disgust,Disgust,Disgust,Disgust
"এরই নাম বাঙালীআনা,আমরা কথার চালবাজিতে পুরো বিশ্বকে পরাস্ত করতে পারি।",Sadness,Sadness,Sadness,Sadness
তার পরেও আমরা গর্বিত কারণ আমরা দেশ কে অন্তত সিংগাপুর বানানোর চেষ্টা হলেও করেছি।,Happiness,Happiness,Happiness,Happiness
কত সহজে প্রতিবাদকারীকে ভয় ধরিয়ে দেওয়া যায়!! আমরা কতটা অসহায়,Fear,Fear,Fear,Fear
"যতই অন্যায় অবিচার হোক, বিন্দুমাত্র প্রতিবাদ করলেই তোমার আর রক্ষা নাই!",Fear,Fear,Fear,Fear
লোকটা প্রতিবাদী তাই এমন হয়েছে।,Happiness,Happiness,Happiness,Happiness
আবার শুরু হয়ে গেল গুম খুন,Sadness,Sadness,Sadness,Sadness
নেহায়েতি ভদ্রলোক এবং স্পষ্টভাষি!,Happiness,Happiness,Happiness,Happiness
এমনিতে দেশের মেধাবীরা বিদেশে চলে যাচ্ছে। যে কয়জন দেশে ছিলেন তাদেরকেও সিংগাপুরের রাস্তায় ট্রাকের চাপায় মরতে হল।,Sadness,Sadness,Sadness,Sadness
এগুলো মৃত্যুর দায় কে নেবে? সড়ক/পরিবহন সংশ্লিষ্ট মন্তনালয় বা বিভাগকে এগুলো অমুল্য প্রানহানির কোন শোক প্রকাশ করতেও কখনও দেখি না হয়ত!,Anger,Anger,Anger,Anger
কিসের দূর্ঘটনা এটা স্রেফ হত্যাকান্ড। নিরাপদ সড়ক আমাদের কাছে স্বপ্ন।,Fear,Fear,Fear,Fear
নতুন করে আবার লুটপাট করার রাস্তা হয়ে যাবে।,Disgust,Disgust,Disgust,Disgust
"তীব্র নিন্দা, প্রচন্ড ক্ষোভ এবং চরম ঘৃণা জানাচ্ছি....................।",Anger,Anger,Anger,Anger
আপনাদের অযোক্তিক বিবৃতিতে জাতি অনেক বেশি অপমানবোধ করে।,Sadness,Sadness,Sadness,Sadness
আপনারা প্রতিশোধ নিবেন আর জনগণ মূল্য দেবে,Disgust,Disgust,Disgust,Disgust
দেশের টাকা গুলো এভাবেই চলে যাচ্ছে,Sadness,Fear,Sadness,Sadness
এটা চুক্তি না টাকা পাচার হচ্ছে,Anger,Anger,Anger,Anger
দেশটা আজ কোথায় গিয়ে ঠেকছে,Sadness,Sadness,Sadness,Sadness
এভাবেই একটা দেশ একদিন বিক্রি হয়ে যাবে,Fear,Fear,Fear,Fear
কি রে ভাই ! হচ্ছেটা কি,Surprise,Surprise,Surprise,Surprise
এখন আরো কত কিছু হবে।,Disgust,Disgust,Disgust,Disgust
বিষয় টা ভালো ভাবে দেখা দরকার ।,Fear,Fear,Fear,Fear
কোন শত্রুুকে যেন এই ধরনের মৃত্য যেন না দেয়।,Sadness,Fear,Sadness,Sadness
সত্যি এটা আমার হৃদয়ানুভূতির সহ্য করার ক্ষমতার বাইরে !,Sadness,Fear,Sadness,Sadness
এইসব নিরীহ মৃত মানুষের অভিশাপে একদিন আমরা সবাই শেষ হয়ে যাবো۔ শুধুমাত্র সময়ের অপেক্ষা۔,Sadness,Fear,Fear,Fear
সাধারণ মানুষের উচিৎ পকেট সেইফ রাখা,Fear,Fear,Fear,Fear
সাধারণ জনগণের উপর করের বোঝা ছাপিয়ে এসি রুমে বসে বসে বিনা ভোটের মন্ত্রীত্ব করার মজাই বেশ মনে হচ্ছে।,Disgust,Disgust,Disgust,Disgust
"নাগরিক অধিকার গুলা আগে নিশ্চিত করুণ। যে শহরে পানির সঠিক ভাবে গ্রাহকদের দিতে পারে না তারা কথা কই থেকে বলে।সবারই উচিৎ নিয়মিত টেক্স দেয়া আমার অনেক আগ্রহ টেক্স দেয়াতে,কিন্তু আমার ইনকাম থেকে খরচ বেশি।",Anger,Anger,Anger,Anger
ধুর মিয়া আপনি তো দেখি মানুষ না,Anger,Anger,Anger,Anger
কেউ যেনো পালাতে না পারে। শয়তান গুলোর কঠিন শাস্তি চাই।,Anger,Anger,Anger,Anger
এক পদ্মা সেতুতে উজ্জ্বল বাংলাদেশ!,Happiness,Happiness,Happiness,Happiness
"জয় বাংলা। দক্ষিণবঙ্গের মানুষ কৃতজ্ঞ আপনার উপর, বঙ্গবন্ধু কন্যা।",Happiness,Happiness,Happiness,Happiness
আমরা সাধারণ মানুষ এতো সাধারণ মন মানুসিকতার কেনো ! ভালো কিছুকেও ভালো বলতে পারি না আমরা ।,Sadness,Sadness,Sadness,Sadness
দেশি ও বিদেশি ষড়যন্ত্র হতে আল্লাহ আমাদের দেশকে রক্ষা করুন,Fear,Fear,Fear,Fear
নেহাত ষড়যন্ত্র নয়তো???,Fear,Fear,Fear,Fear
কুলাঙ্গার মাদ্রাসা শিক্ষককে আইনের আওতায় আনা হোক,Anger,Anger,Anger,Anger
ডিপোর মালিক এখনো গ্রেফতার কেন নয়? ৪৪ জন খুনের আসামি হওয়ার কথা।,Anger,Anger,Anger,Anger
আগুন তার সাথে অনেক কিছুই নিবিয়ে গেছে।,Sadness,Sadness,Sadness,Sadness
এইসব ডাহা মিথ্যা বানোয়াট অভিযোগ ভেসে যাবে জনস্রোতে শীগ্রই ইনশাআল্লাহ।,Disgust,Happiness,Happiness,Happiness
একজন বয়োঃবৃদ্ধা মহিলা (অবশ্যই মাননীয়া) কে নিয়ে এত টানাহেঁচড়া মানে মৃত্যুর দিকে ঠেলে দেয়া ।,Fear,Fear,Fear,Fear
জনগন এবার তাদের অধীকার আদায় করবেই। কোন মামলা হামলা ঠেকাতে পারবে না।,Anger,Anger,Anger,Anger
এত দেরী কেন? কিছু হ‌য়ে যাবার আ‌গে অ‌ভি‌যোগ গঠন করা যায় না?,Disgust,Disgust,Disgust,Disgust
আর কি দেখার বাকি আছে,Disgust,Disgust,Disgust,Disgust
দেউলিয়া আর দুর্ভিক্ষের কবলে বাংলাদেশ।,Sadness,Sadness,Sadness,Sadness
আরো কতবার অবমূল্যায়ন করতে হবে তার কি কোন হিসাব আছে????,Disgust,Disgust,Disgust,Disgust
ধিক্কার জানাই এই রকম আচরণ জন্য,Anger,Anger,Anger,Anger
আল্লাহ উনাকে সুস্থ রাখুন আরও কাজ করে দেশটাকে এগিয়ে নিয়ে যাক এই দোয়া করি।,Happiness,Happiness,Happiness,Happiness
আমার অত্যন্ত প্রিয় ও আস্থাভাজন একজন মানুষ।,Happiness,Happiness,Happiness,Happiness
আশা করি গিনেস বুকে নাম উঠবে এবং বিশ্বরেকর্ড করবে।।,Happiness,Happiness,Happiness,Happiness
আর কি আছে,Disgust,Disgust,Disgust,Disgust
এবার বিমানবন্দরে সমস্যা কিছুটা হলেও সমাধান হবে বলে আশা করছি ।,Happiness,Happiness,Happiness,Happiness
এত দিন কি তাহলে মানুষের রুটি রোজগারের ব্যাবস্থা সরকার করে দিয়েছিল?,Disgust,Disgust,Disgust,Disgust
তাহলে মাঝেমাঝে বাহাদুরি দেখান কেন?,Anger,Anger,Anger,Anger
তাহলে কি চালের দাম আরও বাড়াবেন?,Fear,Fear,Fear,Fear
ভালোবাসার একজন মানুষ,Happiness,Happiness,Happiness,Happiness
"উন্নয়নশীল দেশে এসব কথাবার্তা খাটে, এটা হাস্যকর ও লজ্জাজনক।",Disgust,Disgust,Disgust,Disgust
ওনাদের লোকজন খাবে আর বিদেশ ভ্রমণ করবে আর চলবে লুটপাট।,Anger,Anger,Anger,Anger
তাহলে আপনি কি করিবেন,Disgust,Disgust,Disgust,Disgust
অনেক কথা বলতে ইচ্ছে করে পারি না।,Fear,Sadness,Sadness,Sadness
দালালের সাক্ষাৎকার,Anger,Disgust,Disgust,Disgust
বাবুরে বাজেট বিশেষজ্ঞ আইছে ! কি একটা অবস্থা,Disgust,Disgust,Disgust,Disgust
দেয়ালে পিঠ ঠেকে গেছে।।আমাদের ও সরকারের ও।।।,Sadness,Sadness,Sadness,Sadness
সত্য কথা বলেছেন মাননীয় প্রধানমন্ত্রী,Happiness,Happiness,Happiness,Happiness
"তাহলে পথ দেখান, অথবা যারা পারবে তাদেরকে দায়িত্ব দেই পথ দেখানোর মানুষের অভাব হবেনা",Disgust,Disgust,Disgust,Disgust
হরিলুট অব্যাহত থাকলে জনগণ গাধার মতো খেটে কতটা যোগান দিবে?,Anger,Anger,Anger,Anger
জোর করে কিছু ধরে রাখা ঠিক না।,Disgust,Disgust,Disgust,Disgust
মজা পাইলাম,Happiness,Happiness,Happiness,Happiness
তাহলে আর আপনাদের কি দরকার আমজনতা ই দেশ চালাক,Disgust,Disgust,Disgust,Disgust
শেষ পর্যন্ত এটা শোনার বাকি ছিল।,Surprise,Surprise,Surprise,Surprise
এটাই সবাইকে বোঝাতে পারি না,Sadness,Sadness,Sadness,Sadness
এতদিন কী আমরা আপনাদের দয়ায় চলেছিলাম?,Anger,Anger,Anger,Anger
হঠাৎ করে এই কথা?,Surprise,Surprise,Surprise,Surprise
এটা একটা ভালো চিন্তা,Happiness,Happiness,Happiness,Happiness
সহমত পোষণ করছি,Happiness,Happiness,Happiness,Happiness
নিঃশেষ হয়ে যাবে,Fear,Fear,Fear,Fear
ভালো কথা বলেছে,Happiness,Happiness,Happiness,Happiness
এর শেষ কোথায়,Disgust,Disgust,Disgust,Disgust
শিক্ষা এখন আগের মতো নেই।,Sadness,Sadness,Sadness,Sadness
এই পোস্টের যুক্তি আছে সহমত,Happiness,Happiness,Happiness,Happiness
অতন্ত্য বেদনাদায়ক এবং আমি বা আমরা লজ্জিত,Sadness,Sadness,Sadness,Sadness
আমরা এক নির্লজ্জ বেহায়া জাতিতে পরিনত হয়েছি।,Disgust,Disgust,Disgust,Disgust
এ নাটক শেষ হবে কবে,Disgust,Disgust,Disgust,Disgust
আর কত একই কথা বলবেন ভাই ?,Disgust,Disgust,Disgust,Disgust
ঐতিহাসিক পাগল!,Happiness,Surprise,Disgust,Disgust
"আমাদের দেশের গণমাধ্যমও ছ্যাঁচড়া, দূর্নীতিগ্রস্থ।।",Anger,Anger,Disgust,Anger
"মরণ আসন্ন, এইবার মনেহয় আর মুক্তি নাই।",Fear,Fear,Fear,Fear
এর মালিকে চরম শাস্তি দিতে হবে,Anger,Anger,Anger,Anger
ছিঃ এমন নিউজ করতে নেই বোকা।,Disgust,Disgust,Disgust,Disgust
"পুরা ম্যাচটাই ছিলো,,উপভোগের!",Happiness,Happiness,Happiness,Happiness
নিশ্চিত জয় জেনেই নাটক,Happiness,Disgust,Disgust,Disgust
দেশের আইন একদিন আমাদের কথাও শুনবে।,Happiness,Happiness,Happiness,Happiness
কর্মফল সবাইকে ভোগ করতে হবে,Fear,Fear,Fear,Fear
"তোমরা ঘাতক, তোমরা খুনী, তোমরা অমানুষ।",Anger,Anger,Anger,Anger
আবারও দুর্ঘটনা দুর্ঘটনা শুধু ঘটছেই.. জানিনা এ থেকে বাচার উপায় কি..আল্লাহ সবাইকে হেফাজত করুন,Fear,Fear,Fear,Fear
দেশটাকে শেষ করে দিলো,Sadness,Sadness,Sadness,Sadness
সত্যিই খুব খারাপ লাগে,Sadness,Sadness,Sadness,Sadness
রাস্তা অবরোধ অপ্রয়োজনীয়,Disgust,Disgust,Disgust,Disgust
প্রতিবাদী ভাই-বোনদের জন্য রইল অশেষ ভালোবাসা,Happiness,Happiness,Happiness,Happiness
নিন্দা জানাই,Anger,Anger,Anger,Anger
আমাদের প্রতিবাদ করেই যাবো,Anger,Anger,Anger,Anger
এরাই সোনার বাংলা গড়ার কারিগর,Happiness,Happiness,Happiness,Happiness
এইটা আবার কোনো খবর হলো,Disgust,Disgust,Disgust,Disgust
হাহাহা...না হেসে পারলাম না,Happiness,Happiness,Happiness,Happiness
টাকা কামানোর ধান্দা,Anger,Anger,Anger,Anger
এটাই বর্তমান বাংলাদেশ। আমাদের প্রজন্মকে এক অনিশ্চিত ভবিষ্যতে রেখে যাচ্ছি।,Fear,Fear,Fear,Fear
অগ্রগতি হবে এই আশা করায় অন্যায়,Sadness,Sadness,Sadness,Sadness
"সবাই ভুলেও গেছে, শুধু ভুক্তভোগী পরিবারগুলো ছাড়া। আহ!!",Sadness,Sadness,Sadness,Sadness
এই হলো এই দেশের বিচার এবং বিচার ব্যবস্থা,Sadness,Sadness,Sadness,Sadness
শাসক না এরা শোসক।,Anger,Anger,Anger,Anger
একদম খাটি কথা,Happiness,Happiness,Happiness,Happiness
কেন এমন আচরণ ? এটাই কি গণতন্ত্র ?,Disgust,Anger,Disgust,Disgust
আমার বন্ধুর হত্যাকাণ্ডের বিচার চাই।,Anger,Anger,Anger,Anger
কিছু একটা ঘটতে যাচ্ছে,Fear,Fear,Fear,Fear
"যৌক্তিক বিশ্লেষণ, ধন্যবাদ।",Happiness,Happiness,Happiness,Happiness
যুগোপযোগী সিদ্ধান্ত,Happiness,Happiness,Happiness,Happiness
তাহলে আপনার মুখের ভাষন বন্ধ রাখেন,Anger,Anger,Anger,Anger
সমস্যা নাই,Happiness,Happiness,Happiness,Happiness
দেখার ইচ্ছা নাই,Disgust,Disgust,Disgust,Disgust
আহা সোনালী শৈশব!!,Happiness,Happiness,Happiness,Happiness
আমরাও আজ একইভাবে ভিজে বৃষ্টি উপভোগ করেছি স্কুল থেকে আসার সময়,Happiness,Happiness,Happiness,Happiness
জনগণকে এতো বোকা বানানো এত সহজ নয়!,Disgust,Disgust,Anger,Disgust
এতে মৃত্যু ব্যাক্তির কি উপকার হবে। তাদের পরিবারের কোন কাজে লাগবে? এগুলো ছেড়ে তাদের জন্য দোয়ার ব্যবস্থা করতে পারেন।,Disgust,Disgust,Disgust,Disgust
এগুলো মূর্খতার বহিঃপ্রকাশ।,Anger,Anger,Anger,Anger
মোমবাতি না জালিয়ে ঐ লোকদের সাহায্যে এগিয়ে যান এবং ভবিষ্যতে যাতে আর কোন মায়ের বুক খালি না হয় তার প্রয়োজনীয় ব্যবস্থা গ্রহণ করতে প্রতিবাদ সমাবেশ করে সকলের দৃষ্টি আকর্ষণ করুন।,Anger,Anger,Anger,Anger
বেধার্মিক কাজ,Anger,Anger,Anger,Anger
এরা শুধু এটাই করতে পারবে,Disgust,Disgust,Disgust,Disgust
সোনার জাতি সোনার চেতনা। এই টাকায় কয়েকজন মানুষের খাবার হতো।,Disgust,Disgust,Disgust,Disgust
"আরে এরা কারা, কোথা থেকে এসেছে এরা। মানুষ ঝলসে গেছে যে আগুনে এরা সেই আগুনই প্রজ্বলন করে শোক পালন করছে",Disgust,Disgust,Disgust,Disgust
মোমবাতির আলো না জ্বালিয়ে মৃত পরিবার গুলোর অন্ধকার জীবনে যাতে আলো জ্বলে সেই আলো জ্বালানো হউক।,Anger,Anger,Anger,Anger
সংবাদমাধ্যমের প্রচার করার আর কোনো নিউজ নাই,Anger,Anger,Anger,Anger
জ্ঞানপাপী মূর্খদের কাজ এগুলো,Disgust,Disgust,Disgust,Disgust
এতে নিহতের কিংবা পরিবারের কি উপকার হলো?,Anger,Anger,Anger,Anger
"এই জন্যেই একটা সস্তা কিন্তু যৌক্তিক কথা শোনা যায় মাঝে মাঝে,'বাংলাদেশ হলো শয়তানের হেড-কোয়ার্টার।'",Anger,Anger,Anger,Anger
এসব ভণ্ডামি বাদ দিয়ে সম্ভব হলে বিপদগ্রস্ত পরিবারগুলোর পাশে দাঁড়ান। দুইটাকার মোমবাতি জ্বালিয়ে তাদের ঔষধ আর পেট ভরবে না।,Anger,Anger,Anger,Anger
আরো কিছু অপচয়,Sadness,Sadness,Sadness,Sadness
ফালতু নিউজ ফালতু কাজ,Disgust,Disgust,Disgust,Disgust
আল্লাহ আপনি মহান। হেদায়েত দাতা ও আপনি। এদের কে হেদায়েত দান করুন,Sadness,Sadness,Sadness,Sadness
ভন্ডামীর একটা সীমা থাকা দরকার।,Disgust,Disgust,Disgust,Disgust
হ খুব উপকার হইলো এতে,Disgust,Disgust,Disgust,Disgust
এই মূর্খতার সংস্কৃতি বন্ধ হোক।,Anger,Anger,Anger,Anger
হায়রে মানুষ,Sadness,Sadness,Sadness,Sadness
